Timestamp,"MB Fan #1","MB Fan #2","MB Fan #3","MB Fan #4","MB Fan #5","MB Temp #1","MB Temp #2","MB Temp #3","MB VCPU","CPU Package","CPU Load","GPU #1 Temp #1","GPU #1 Temp #2","GPU #1 Load","GPU #1 Memory Load","GPU #1 Video Engine","GPU #2 Fan","GPU #2 Temp #1","GPU #2 Temp #2","GPU #2 Temp #3","GPU #2 Load #1","GPU #2 Memory Load","GPU #2 Video Engine","HX1000i Fan","HX1000i Temp","HX1000i Efficiency","HX1000i 12V Voltage","HX1000i 12V Current","HX1000i 12V Power"
29/8/2025 20:21:43 PM,1175RPM,1472RPM,3260RPM,1183RPM,1188RPM,38.00°C,56.50°C,38.00°C,1.18V,56.88°C,14%,40.00°C,43.00°C,0%,0%,0%,0RPM,48.00°C,42.00°C,36.00°C,0%,13%,0%,1544RPM,34.50°C,88W,11.90V,5.50A,65W
29/8/2025 20:21:48 PM,1175RPM,1472RPM,3260RPM,1183RPM,1188RPM,38.00°C,56.50°C,38.00°C,1.18V,59.63°C,9%,40.00°C,43.00°C,0%,0%,0%,0RPM,48.00°C,42.00°C,36.00°C,0%,13%,0%,1552RPM,34.50°C,90W,11.90V,8.00A,95W
29/8/2025 20:21:53 PM,1173RPM,1593RPM,3253RPM,1173RPM,1207RPM,39.00°C,58.00°C,38.00°C,1.16V,55.88°C,13%,40.00°C,44.00°C,0%,0%,0%,0RPM,48.00°C,42.00°C,36.00°C,0%,13%,0%,1536RPM,34.50°C,88W,11.90V,5.50A,65W
29/8/2025 20:21:58 PM,1187RPM,1483RPM,3276RPM,1189RPM,1208RPM,39.00°C,54.00°C,39.00°C,1.17V,54.50°C,14%,40.00°C,43.00°C,0%,0%,0%,0RPM,48.00°C,42.00°C,36.00°C,21%,13%,0%,1552RPM,34.50°C,89W,11.90V,6.00A,71W
29/8/2025 20:22:03 PM,1186RPM,1422RPM,3061RPM,1175RPM,1188RPM,39.00°C,56.00°C,39.00°C,1.14V,56.00°C,30%,41.00°C,44.00°C,0%,0%,0%,0RPM,52.00°C,43.00°C,37.00°C,13%,22%,0%,1536RPM,34.00°C,91W,11.90V,10.50A,125W
29/8/2025 20:22:08 PM,1186RPM,1422RPM,3061RPM,1175RPM,1188RPM,39.00°C,56.00°C,39.00°C,1.14V,62.25°C,42%,41.00°C,44.00°C,0%,0%,0%,0RPM,52.00°C,43.00°C,37.00°C,13%,22%,0%,1544RPM,34.00°C,92W,11.90V,12.00A,143W
29/8/2025 20:22:13 PM,1178RPM,1668RPM,3515RPM,1170RPM,1185RPM,39.00°C,62.00°C,39.00°C,1.13V,61.50°C,29%,40.00°C,45.00°C,0%,0%,0%,0RPM,54.00°C,46.00°C,38.00°C,10%,26%,0%,1536RPM,34.00°C,91W,11.90V,11.00A,131W
29/8/2025 20:22:18 PM,1178RPM,1664RPM,3341RPM,1182RPM,1201RPM,39.00°C,60.00°C,39.00°C,1.12V,61.25°C,42%,41.00°C,43.00°C,36%,0%,0%,0RPM,56.00°C,48.00°C,39.00°C,97%,29%,0%,1560RPM,34.00°C,94W,11.90V,34.00A,405W
29/8/2025 20:22:23 PM,1178RPM,1664RPM,3341RPM,1182RPM,1201RPM,39.00°C,60.00°C,39.00°C,1.12V,59.75°C,37%,41.00°C,43.00°C,36%,0%,0%,0RPM,56.00°C,48.00°C,39.00°C,97%,29%,0%,1536RPM,34.00°C,94W,11.80V,34.00A,401W
29/8/2025 20:22:28 PM,1164RPM,1575RPM,3375RPM,1166RPM,1207RPM,39.00°C,59.50°C,39.00°C,1.10V,60.75°C,45%,40.00°C,44.00°C,0%,0%,0%,822RPM,62.00°C,61.00°C,48.00°C,99%,37%,0%,1552RPM,34.00°C,94W,11.90V,33.50A,399W
29/8/2025 20:22:33 PM,1163RPM,1577RPM,3366RPM,1162RPM,1208RPM,39.00°C,62.00°C,39.00°C,1.09V,62.00°C,44%,40.00°C,44.00°C,0%,0%,0%,865RPM,64.00°C,64.00°C,50.00°C,99%,43%,0%,1552RPM,34.00°C,94W,11.90V,34.00A,405W
29/8/2025 20:22:38 PM,1175RPM,1654RPM,3479RPM,1164RPM,1212RPM,40.00°C,63.00°C,39.00°C,1.09V,62.63°C,56%,41.00°C,45.00°C,0%,0%,0%,955RPM,66.00°C,65.00°C,52.00°C,99%,51%,0%,1536RPM,34.00°C,94W,11.90V,34.50A,411W
29/8/2025 20:22:43 PM,1172RPM,1670RPM,3391RPM,1178RPM,1221RPM,40.00°C,61.00°C,39.00°C,1.14V,61.13°C,34%,40.00°C,44.00°C,0%,0%,0%,1046RPM,58.00°C,50.00°C,44.00°C,4%,14%,0%,1552RPM,34.00°C,90W,11.90V,8.50A,101W
29/8/2025 20:22:48 PM,1172RPM,1670RPM,3391RPM,1178RPM,1221RPM,40.00°C,61.00°C,39.00°C,1.14V,59.00°C,26%,40.00°C,44.00°C,0%,0%,0%,1046RPM,58.00°C,50.00°C,44.00°C,4%,14%,0%,1544RPM,34.00°C,90W,11.90V,8.00A,95W
29/8/2025 20:22:53 PM,1185RPM,1582RPM,3375RPM,1170RPM,1202RPM,40.00°C,59.00°C,39.00°C,1.18V,58.25°C,22%,40.00°C,44.00°C,0%,0%,0%,946RPM,56.00°C,48.00°C,42.00°C,17%,14%,0%,1552RPM,34.00°C,90W,11.90V,7.50A,89W
29/8/2025 20:22:58 PM,1174RPM,1470RPM,3082RPM,1170RPM,1201RPM,40.00°C,53.00°C,39.00°C,1.13V,53.63°C,18%,41.00°C,44.00°C,0%,0%,0%,839RPM,54.00°C,47.00°C,41.00°C,23%,14%,0%,1544RPM,34.00°C,90W,11.90V,7.00A,83W
29/8/2025 20:23:03 PM,1174RPM,1470RPM,3082RPM,1170RPM,1201RPM,40.00°C,53.00°C,39.00°C,1.13V,50.13°C,19%,41.00°C,44.00°C,0%,0%,0%,839RPM,54.00°C,47.00°C,41.00°C,23%,14%,0%,1536RPM,34.00°C,90W,11.90V,7.00A,83W
29/8/2025 20:23:08 PM,1173RPM,1400RPM,2890RPM,1176RPM,1219RPM,40.00°C,49.50°C,39.00°C,1.14V,57.13°C,51%,40.00°C,43.00°C,0%,0%,0%,840RPM,54.00°C,46.00°C,40.00°C,9%,14%,0%,1552RPM,34.00°C,89W,11.90V,6.00A,71W
29/8/2025 20:23:13 PM,1176RPM,1534RPM,3199RPM,1183RPM,1192RPM,40.00°C,59.50°C,39.00°C,1.16V,56.25°C,19%,40.00°C,44.00°C,0%,0%,0%,0RPM,52.00°C,46.00°C,39.00°C,20%,13%,0%,1536RPM,34.00°C,89W,11.90V,6.50A,77W
29/8/2025 20:23:18 PM,1176RPM,1513RPM,3221RPM,1189RPM,1191RPM,40.00°C,55.50°C,39.00°C,1.15V,52.63°C,19%,40.00°C,44.00°C,0%,0%,0%,0RPM,52.00°C,46.00°C,39.00°C,29%,13%,0%,1552RPM,34.00°C,90W,11.90V,7.00A,83W
29/8/2025 20:23:23 PM,1196RPM,1409RPM,3040RPM,1176RPM,1209RPM,40.00°C,50.50°C,39.00°C,1.17V,49.25°C,10%,41.00°C,43.00°C,0%,0%,0%,0RPM,52.00°C,46.00°C,40.00°C,19%,13%,0%,1536RPM,34.00°C,90W,11.90V,7.00A,83W
29/8/2025 20:23:28 PM,1185RPM,1369RPM,2934RPM,1171RPM,1209RPM,40.00°C,48.00°C,39.00°C,1.16V,53.63°C,15%,39.00°C,44.00°C,0%,0%,0%,0RPM,52.00°C,46.00°C,39.00°C,9%,13%,0%,1536RPM,34.00°C,90W,11.90V,7.00A,83W
29/8/2025 20:23:33 PM,1175RPM,1493RPM,3110RPM,1188RPM,1210RPM,40.00°C,56.00°C,39.00°C,1.15V,55.25°C,18%,40.00°C,43.00°C,0%,0%,0%,0RPM,52.00°C,46.00°C,40.00°C,4%,13%,0%,1552RPM,34.00°C,90W,11.90V,7.00A,83W
29/8/2025 20:23:38 PM,1189RPM,1500RPM,3349RPM,1183RPM,1209RPM,40.00°C,58.00°C,39.00°C,1.19V,58.38°C,20%,40.00°C,44.00°C,0%,0%,0%,0RPM,52.00°C,46.00°C,39.00°C,13%,13%,0%,1536RPM,34.00°C,90W,11.90V,8.00A,95W
29/8/2025 20:23:43 PM,1194RPM,1530RPM,3206RPM,1184RPM,1210RPM,40.00°C,57.50°C,39.00°C,1.15V,57.63°C,18%,40.00°C,43.00°C,0%,0%,0%,0RPM,52.00°C,46.00°C,39.00°C,11%,13%,0%,1544RPM,34.00°C,91W,11.90V,9.00A,107W
29/8/2025 20:23:48 PM,1186RPM,1505RPM,3199RPM,1183RPM,1210RPM,40.00°C,56.50°C,39.00°C,1.16V,57.63°C,17%,40.00°C,43.00°C,0%,0%,0%,0RPM,52.00°C,46.00°C,39.00°C,4%,13%,0%,1536RPM,34.00°C,89W,11.90V,7.00A,83W
29/8/2025 20:23:53 PM,1184RPM,1515RPM,3308RPM,1176RPM,1210RPM,40.00°C,58.50°C,39.00°C,1.18V,58.75°C,31%,40.00°C,44.00°C,0%,0%,0%,0RPM,52.00°C,46.00°C,40.00°C,21%,13%,0%,1552RPM,34.00°C,90W,11.90V,8.00A,95W
29/8/2025 20:23:58 PM,1196RPM,1577RPM,3214RPM,1172RPM,1191RPM,40.00°C,58.50°C,39.00°C,1.18V,58.88°C,20%,40.00°C,43.00°C,0%,0%,0%,0RPM,52.00°C,46.00°C,39.00°C,13%,13%,0%,1536RPM,34.00°C,90W,11.90V,8.00A,95W
29/8/2025 20:24:03 PM,1196RPM,1557RPM,3316RPM,1189RPM,1191RPM,40.00°C,58.00°C,39.00°C,1.17V,58.25°C,17%,40.00°C,43.00°C,0%,0%,0%,0RPM,50.00°C,45.00°C,39.00°C,4%,13%,0%,1544RPM,34.00°C,90W,11.90V,7.00A,83W
29/8/2025 20:24:08 PM,1187RPM,1577RPM,3221RPM,1189RPM,1191RPM,40.00°C,59.00°C,39.00°C,1.13V,61.50°C,35%,40.00°C,44.00°C,0%,0%,0%,0RPM,54.00°C,46.00°C,39.00°C,47%,21%,0%,1528RPM,34.00°C,91W,11.90V,11.00A,131W
29/8/2025 20:24:13 PM,1193RPM,1664RPM,3358RPM,1183RPM,1188RPM,40.00°C,62.50°C,39.00°C,1.15V,61.88°C,34%,40.00°C,44.00°C,0%,0%,0%,0RPM,56.00°C,49.00°C,41.00°C,14%,25%,0%,1560RPM,34.00°C,93W,11.90V,16.50A,196W
29/8/2025 20:24:18 PM,1171RPM,1557RPM,3214RPM,1175RPM,1206RPM,40.00°C,56.50°C,39.00°C,1.18V,58.13°C,34%,40.00°C,44.00°C,0%,0%,0%,0RPM,58.00°C,50.00°C,42.00°C,27%,29%,0%,1552RPM,34.00°C,92W,11.90V,11.50A,137W
29/8/2025 20:24:23 PM,1167RPM,1472RPM,3089RPM,1167RPM,1191RPM,40.00°C,52.50°C,39.00°C,1.15V,52.50°C,43%,41.00°C,44.00°C,0%,0%,0%,846RPM,64.00°C,65.00°C,49.00°C,99%,48%,0%,1552RPM,34.00°C,94W,11.90V,34.00A,405W
29/8/2025 20:24:28 PM,1173RPM,1425RPM,3110RPM,1160RPM,1194RPM,40.00°C,51.00°C,39.00°C,1.15V,51.50°C,33%,40.00°C,44.00°C,0%,0%,0%,915RPM,64.00°C,64.00°C,51.00°C,100%,56%,0%,1552RPM,34.00°C,94W,11.80V,33.00A,389W
29/8/2025 20:24:33 PM,1183RPM,1381RPM,3117RPM,1172RPM,1214RPM,41.00°C,50.00°C,39.00°C,1.15V,50.38°C,33%,41.00°C,44.00°C,0%,0%,0%,980RPM,66.00°C,65.00°C,52.00°C,99%,57%,0%,1536RPM,34.00°C,94W,11.90V,32.00A,381W
29/8/2025 20:24:38 PM,1162RPM,1398RPM,2967RPM,1175RPM,1195RPM,41.00°C,51.50°C,39.00°C,1.15V,51.00°C,37%,40.00°C,44.00°C,0%,0%,0%,1029RPM,68.00°C,66.00°C,53.00°C,99%,57%,0%,1552RPM,34.00°C,94W,11.90V,32.50A,387W
29/8/2025 20:24:43 PM,1164RPM,1380RPM,3020RPM,1175RPM,1214RPM,41.00°C,50.00°C,39.00°C,1.15V,52.13°C,38%,41.00°C,44.00°C,0%,0%,0%,1077RPM,70.00°C,67.00°C,53.00°C,99%,57%,0%,1560RPM,34.00°C,94W,11.90V,32.50A,387W
29/8/2025 20:24:48 PM,1163RPM,1433RPM,3316RPM,1165RPM,1215RPM,41.00°C,58.00°C,39.00°C,1.10V,56.63°C,36%,40.00°C,44.00°C,0%,0%,0%,1130RPM,70.00°C,68.00°C,54.00°C,100%,57%,0%,1544RPM,34.00°C,94W,11.90V,32.50A,387W
29/8/2025 20:24:53 PM,1174RPM,1555RPM,3253RPM,1164RPM,1195RPM,41.00°C,59.00°C,39.00°C,1.13V,59.38°C,38%,40.00°C,45.00°C,0%,0%,0%,1190RPM,70.00°C,69.00°C,55.00°C,100%,57%,0%,1544RPM,34.00°C,94W,11.90V,32.00A,381W
29/8/2025 20:24:58 PM,1173RPM,1577RPM,3191RPM,1166RPM,1215RPM,41.00°C,59.00°C,40.00°C,1.10V,59.25°C,38%,41.00°C,44.00°C,0%,0%,0%,1233RPM,72.00°C,69.00°C,55.00°C,99%,57%,0%,1552RPM,34.00°C,94W,11.90V,33.00A,393W
29/8/2025 20:25:03 PM,1164RPM,1557RPM,3292RPM,1161RPM,1217RPM,41.00°C,59.00°C,40.00°C,1.10V,59.38°C,37%,40.00°C,44.00°C,0%,0%,0%,1302RPM,72.00°C,70.00°C,56.00°C,99%,57%,0%,1552RPM,34.00°C,94W,11.90V,33.50A,399W
29/8/2025 20:25:08 PM,1183RPM,1577RPM,3221RPM,1162RPM,1196RPM,42.00°C,58.50°C,40.00°C,1.10V,58.88°C,40%,41.00°C,44.00°C,0%,0%,0%,1295RPM,74.00°C,69.00°C,56.00°C,99%,57%,0%,1536RPM,34.00°C,94W,11.90V,34.00A,405W
29/8/2025 20:25:13 PM,1186RPM,1558RPM,3245RPM,1176RPM,1218RPM,42.00°C,60.00°C,40.00°C,1.13V,59.88°C,45%,41.00°C,44.00°C,0%,0%,0%,1303RPM,72.00°C,61.00°C,54.00°C,19%,57%,0%,1536RPM,34.00°C,93W,11.90V,39.50A,470W
29/8/2025 20:25:18 PM,1162RPM,1557RPM,3391RPM,1162RPM,1197RPM,42.00°C,60.50°C,40.00°C,1.10V,60.50°C,53%,41.00°C,44.00°C,0%,0%,0%,1286RPM,74.00°C,70.00°C,56.00°C,98%,58%,0%,1560RPM,34.00°C,94W,11.80V,33.50A,395W
29/8/2025 20:25:23 PM,1170RPM,1557RPM,3333RPM,1162RPM,1215RPM,42.00°C,59.00°C,40.00°C,1.12V,60.38°C,37%,41.00°C,45.00°C,0%,0%,0%,1309RPM,74.00°C,71.00°C,57.00°C,99%,58%,0%,1560RPM,34.00°C,94W,11.90V,33.00A,393W
29/8/2025 20:25:28 PM,1183RPM,1575RPM,3400RPM,1163RPM,1196RPM,42.00°C,58.50°C,40.00°C,1.10V,58.63°C,40%,41.00°C,44.00°C,0%,0%,0%,1299RPM,74.00°C,70.00°C,57.00°C,97%,58%,0%,1560RPM,34.00°C,94W,11.90V,32.50A,387W
29/8/2025 20:25:33 PM,1183RPM,1557RPM,3391RPM,1161RPM,1215RPM,42.00°C,58.50°C,40.00°C,1.14V,59.00°C,37%,40.00°C,44.00°C,0%,0%,0%,1297RPM,74.00°C,70.00°C,57.00°C,98%,58%,0%,1544RPM,34.00°C,94W,11.90V,33.50A,399W
29/8/2025 20:25:38 PM,1173RPM,1557RPM,3358RPM,1162RPM,1196RPM,42.00°C,58.00°C,40.00°C,1.09V,58.25°C,36%,40.00°C,45.00°C,0%,0%,0%,1295RPM,74.00°C,71.00°C,57.00°C,100%,58%,0%,1544RPM,34.00°C,94W,11.90V,33.00A,393W
29/8/2025 20:25:43 PM,1170RPM,1562RPM,3191RPM,1167RPM,1217RPM,42.00°C,55.00°C,40.00°C,1.14V,53.13°C,31%,40.00°C,44.00°C,0%,0%,0%,1303RPM,74.00°C,71.00°C,57.00°C,99%,58%,0%,1544RPM,34.50°C,94W,11.90V,33.50A,399W
29/8/2025 20:25:48 PM,1171RPM,1416RPM,3132RPM,1168RPM,1196RPM,42.00°C,50.00°C,40.00°C,1.14V,50.25°C,34%,41.00°C,44.00°C,0%,0%,0%,1281RPM,76.00°C,71.00°C,58.00°C,99%,58%,0%,1552RPM,34.50°C,94W,11.90V,33.00A,393W
29/8/2025 20:25:53 PM,1183RPM,1362RPM,3006RPM,1174RPM,1197RPM,43.00°C,49.00°C,40.00°C,1.16V,49.13°C,32%,40.00°C,44.00°C,0%,0%,0%,1278RPM,76.00°C,72.00°C,58.00°C,99%,58%,0%,1552RPM,34.50°C,94W,11.90V,32.00A,381W
29/8/2025 20:25:58 PM,1183RPM,1359RPM,3006RPM,1174RPM,1217RPM,43.00°C,50.00°C,40.00°C,1.14V,50.50°C,34%,41.00°C,44.00°C,0%,0%,0%,1277RPM,76.00°C,72.00°C,58.00°C,99%,58%,0%,1552RPM,34.50°C,94W,11.90V,32.50A,387W
29/8/2025 20:26:03 PM,1163RPM,1340RPM,2986RPM,1179RPM,1197RPM,43.00°C,49.50°C,40.00°C,1.14V,49.88°C,33%,41.00°C,45.00°C,0%,0%,0%,1277RPM,76.00°C,73.00°C,59.00°C,99%,58%,0%,1552RPM,34.50°C,94W,11.90V,33.00A,393W
29/8/2025 20:26:08 PM,1183RPM,1335RPM,3006RPM,1173RPM,1197RPM,43.00°C,49.00°C,40.00°C,1.15V,49.25°C,33%,41.00°C,44.00°C,0%,0%,0%,1276RPM,76.00°C,73.00°C,59.00°C,98%,58%,0%,1552RPM,34.50°C,94W,11.80V,33.00A,389W
29/8/2025 20:26:13 PM,1175RPM,1496RPM,3276RPM,1166RPM,1215RPM,43.00°C,57.50°C,40.00°C,1.10V,58.38°C,37%,40.00°C,44.00°C,0%,0%,0%,1277RPM,76.00°C,73.00°C,59.00°C,99%,58%,0%,1552RPM,34.50°C,94W,11.90V,33.00A,393W
29/8/2025 20:26:18 PM,1171RPM,1532RPM,3237RPM,1179RPM,1197RPM,43.00°C,59.50°C,40.00°C,1.10V,59.88°C,45%,40.00°C,44.00°C,0%,0%,0%,1279RPM,78.00°C,73.00°C,59.00°C,100%,58%,0%,1552RPM,34.50°C,94W,11.80V,35.50A,419W
29/8/2025 20:26:23 PM,1184RPM,1578RPM,3245RPM,1174RPM,1217RPM,43.00°C,59.50°C,40.00°C,1.11V,59.50°C,35%,41.00°C,44.00°C,0%,0%,0%,1276RPM,76.00°C,73.00°C,59.00°C,98%,58%,0%,1536RPM,34.50°C,94W,11.80V,33.50A,395W
29/8/2025 20:26:28 PM,1184RPM,1557RPM,3214RPM,1179RPM,1196RPM,43.00°C,59.00°C,40.00°C,1.10V,59.13°C,39%,40.00°C,44.00°C,0%,0%,0%,1277RPM,76.00°C,72.00°C,59.00°C,98%,58%,0%,1536RPM,34.50°C,94W,11.90V,32.50A,387W
29/8/2025 20:26:33 PM,1174RPM,1557RPM,3268RPM,1174RPM,1217RPM,43.00°C,59.50°C,40.00°C,1.12V,59.38°C,36%,41.00°C,44.00°C,0%,0%,0%,1278RPM,78.00°C,73.00°C,59.00°C,99%,57%,0%,1536RPM,34.50°C,94W,11.90V,33.50A,399W
29/8/2025 20:26:38 PM,1164RPM,1555RPM,3391RPM,1175RPM,1197RPM,43.00°C,59.50°C,40.00°C,1.11V,59.63°C,35%,40.00°C,44.00°C,0%,0%,0%,1278RPM,78.00°C,73.00°C,59.00°C,99%,57%,0%,1536RPM,34.50°C,94W,11.90V,32.50A,387W
29/8/2025 20:26:43 PM,1183RPM,1575RPM,3349RPM,1175RPM,1217RPM,43.00°C,59.50°C,41.00°C,1.10V,59.38°C,36%,41.00°C,44.00°C,0%,0%,0%,1278RPM,76.00°C,73.00°C,59.00°C,88%,57%,0%,1536RPM,34.50°C,94W,11.90V,33.50A,399W
29/8/2025 20:26:48 PM,1176RPM,1575RPM,3366RPM,1164RPM,1215RPM,44.00°C,59.50°C,41.00°C,1.10V,59.88°C,37%,41.00°C,44.00°C,0%,0%,0%,1279RPM,78.00°C,73.00°C,60.00°C,99%,57%,0%,1560RPM,34.50°C,94W,11.90V,32.50A,387W
29/8/2025 20:26:53 PM,1176RPM,1562RPM,3400RPM,1178RPM,1217RPM,44.00°C,60.00°C,41.00°C,1.12V,60.13°C,36%,40.00°C,44.00°C,0%,0%,0%,1279RPM,78.00°C,73.00°C,60.00°C,99%,57%,0%,1576RPM,35.00°C,94W,11.90V,32.50A,387W
29/8/2025 20:26:58 PM,1172RPM,1555RPM,3366RPM,1165RPM,1198RPM,44.00°C,59.00°C,41.00°C,1.10V,59.13°C,35%,40.00°C,45.00°C,0%,0%,0%,1277RPM,78.00°C,73.00°C,60.00°C,100%,57%,0%,1568RPM,35.00°C,94W,11.90V,34.50A,411W
29/8/2025 20:27:03 PM,1172RPM,1555RPM,3366RPM,1165RPM,1198RPM,44.00°C,59.00°C,41.00°C,1.10V,58.88°C,35%,40.00°C,45.00°C,0%,0%,0%,1277RPM,78.00°C,73.00°C,60.00°C,100%,57%,0%,1584RPM,35.00°C,94W,11.90V,33.00A,393W
29/8/2025 20:27:08 PM,1172RPM,1569RPM,3229RPM,1176RPM,1197RPM,44.00°C,55.50°C,41.00°C,1.13V,52.25°C,31%,40.00°C,44.00°C,0%,0%,0%,1279RPM,78.00°C,73.00°C,60.00°C,99%,57%,0%,1584RPM,35.00°C,94W,11.90V,33.50A,399W
29/8/2025 20:27:13 PM,1176RPM,1448RPM,3054RPM,1165RPM,1218RPM,44.00°C,51.00°C,41.00°C,1.13V,51.25°C,32%,41.00°C,45.00°C,0%,0%,0%,1276RPM,78.00°C,74.00°C,60.00°C,97%,57%,0%,1584RPM,35.00°C,94W,11.90V,32.50A,387W
29/8/2025 20:27:18 PM,1172RPM,1404RPM,3061RPM,1180RPM,1218RPM,44.00°C,50.00°C,41.00°C,1.12V,50.88°C,31%,41.00°C,43.00°C,0%,0%,0%,1275RPM,78.00°C,74.00°C,60.00°C,99%,57%,0%,1584RPM,35.00°C,94W,11.90V,31.00A,369W
29/8/2025 20:27:23 PM,1184RPM,1404RPM,3089RPM,1178RPM,1218RPM,44.00°C,51.00°C,41.00°C,1.14V,51.25°C,32%,41.00°C,44.00°C,0%,0%,0%,1273RPM,80.00°C,73.00°C,60.00°C,96%,57%,0%,1568RPM,35.00°C,94W,11.90V,31.50A,375W
29/8/2025 20:27:28 PM,1184RPM,1398RPM,3054RPM,1175RPM,1198RPM,44.00°C,50.00°C,41.00°C,1.15V,50.00°C,31%,41.00°C,44.00°C,0%,0%,0%,1275RPM,78.00°C,74.00°C,60.00°C,99%,57%,0%,1568RPM,35.00°C,94W,11.90V,32.00A,381W
29/8/2025 20:27:33 PM,1184RPM,1398RPM,3054RPM,1175RPM,1198RPM,44.00°C,50.00°C,41.00°C,1.15V,49.13°C,30%,41.00°C,44.00°C,0%,0%,0%,1275RPM,78.00°C,74.00°C,60.00°C,99%,57%,0%,1568RPM,35.00°C,94W,11.90V,31.00A,369W
29/8/2025 20:27:38 PM,1172RPM,1386RPM,3075RPM,1165RPM,1198RPM,44.00°C,55.50°C,41.00°C,1.10V,58.63°C,37%,41.00°C,45.00°C,0%,0%,0%,1277RPM,78.00°C,74.00°C,61.00°C,99%,57%,0%,1584RPM,35.00°C,94W,11.90V,32.00A,381W
29/8/2025 20:27:43 PM,1184RPM,1588RPM,3206RPM,1170RPM,1198RPM,44.00°C,58.50°C,41.00°C,1.13V,58.38°C,37%,41.00°C,45.00°C,0%,0%,0%,1279RPM,80.00°C,73.00°C,60.00°C,99%,58%,0%,1568RPM,35.00°C,94W,11.90V,32.00A,381W
29/8/2025 20:27:48 PM,1168RPM,1560RPM,3268RPM,1184RPM,1202RPM,45.00°C,59.50°C,41.00°C,1.08V,58.50°C,28%,41.00°C,44.00°C,0%,0%,0%,1269RPM,76.00°C,64.00°C,56.00°C,21%,28%,0%,1576RPM,35.00°C,92W,11.90V,12.00A,143W
